BODY CONDITION,BASE TAIL CIRCUMFERENCE (BTC),BTC:STL,BODY SIZE,EYE TO EAR LENGTH (EEL),EEL: SKULL LENGTH,EEL:STL,SKULL LENGTH (SL),SL:STL,SKULL WIDTH (SW),SW:STL,SW:SL,SNOUT-TAIL-LENGTH (STL) ,SNOUT-VENT-LENGTH (SVL),TAIL LENGTH (TL),TL:STL,THIGH WIDTH (TW),TW:STL,WEIGHT,"SEX (male= 0, female= 1)"
0.018345324,16.1,0.115827338,-0.88358,3.2,0.340425532,0.023021583,9.4,0.067625899,15.3,0.110071942,1.627659574,139,53.1,85.9,0.617985612,13.4,0.096402878,2.55,0
0.017215569,16.2,0.121257485,-0.60718,3,0.303030303,0.02245509,9.9,0.074101796,16.3,0.122005988,1.646464646,133.6,65.3,68.3,0.511227545,13.4,0.100299401,2.3,1
0.018271258,17.1,0.120168658,-0.57606,3.5,0.360824742,0.024595924,9.7,0.068165847,15.9,0.11173577,1.639175258,142.3,54.2,88.1,0.619114547,13,0.09135629,2.6,1
0.017256255,15.3,0.132010354,-1.78588,3,0.365853659,0.025884383,8.2,0.070750647,14.6,0.125970664,1.780487805,115.9,47.25,68.65,0.592320966,12.4,0.106988783,2,1
0.029989095,24,0.130861505,2.44149,4,0.333333333,0.021810251,12,0.065430752,20,0.109051254,1.666666667,183.4,72.3,111.1,0.605779716,18.5,0.10087241,5.5,0
0.015866873,16,0.123839009,-1.12199,3,0.319148936,0.023219814,9.4,0.072755418,15.9,0.123065015,1.691489362,129.2,50.3,78.9,0.610681115,13.5,0.104489164,2.05,0
0.026241135,18.9,0.134042553,0.07443,3.5,0.360824742,0.024822695,9.7,0.068794326,17,0.120567376,1.75257732,141,59.2,81.8,0.580141844,15.3,0.108510638,3.7,1
0.021997207,18.4,0.12849162,-0.17462,3.2,0.323232323,0.022346369,9.9,0.069134078,16.8,0.117318436,1.696969697,143.2,57.8,85.4,0.596368715,14.9,0.104050279,3.15,1
0.021459227,17.1,0.122317597,-0.69677,3.1,0.322916667,0.022174535,9.6,0.068669528,15.4,0.110157368,1.604166667,139.8,53.2,86.6,0.619456366,14,0.100143062,3,1
0.016081871,15.8,0.115497076,-0.91291,3,0.291262136,0.021929825,10.3,0.075292398,16,0.116959064,1.553398058,136.8,53.8,83,0.606725146,12.2,0.089181287,2.2,1
0.020618557,20.2,0.130154639,0.35739,3.6,0.330275229,0.023195876,10.9,0.070231959,17,0.109536082,1.559633028,155.2,61,94.2,0.606958763,13.7,0.088273196,3.2,0
0.019310345,18.7,0.128965517,-0.19098,3.3,0.326732673,0.022758621,10.1,0.069655172,17,0.117241379,1.683168317,145,57.5,87.5,0.603448276,13.9,0.095862069,2.8,0
0.017142857,16,0.114285714,-0.92212,3.2,0.351648352,0.022857143,9.1,0.065,15.4,0.11,1.692307692,140,54.2,85.8,0.612857143,13.4,0.095714286,2.4,1
0.016257225,16.4,0.11849711,-1.0006,3.2,0.347826087,0.023121387,9.2,0.066473988,15.5,0.11199422,1.684782609,138.4,52.3,86.1,0.622109827,12.8,0.092485549,2.25,1
0.01779661,18.5,0.156779661,-1.1934,3.1,0.326315789,0.026271186,9.5,0.080508475,16,0.13559322,1.684210526,118,48,70,0.593220339,12,0.101694915,2.1,0
0.026451613,20.5,0.132258065,0.78525,3.6,0.333333333,0.023225806,10.8,0.069677419,18.4,0.118709677,1.703703704,155,59.6,95.4,0.615483871,16,0.103225806,4.1,0
0.022781775,18.1,0.144684253,-0.80026,3,0.319148936,0.023980815,9.4,0.075139888,16.4,0.131095124,1.744680851,125.1,53.5,71.6,0.572342126,13.7,0.10951239,2.85,0
0.023214286,18.8,0.134285714,-0.16083,3.4,0.336633663,0.024285714,10.1,0.072142857,15.9,0.113571429,1.574257426,140,59.3,80.7,0.576428571,14.3,0.102142857,3.25,1
0.023672425,20.3,0.129878439,0.30627,3.5,0.35,0.022392834,10,0.063979527,17,0.108765195,1.7,156.3,59.3,97,0.620601408,14.8,0.094689699,3.7,0
0.022258065,31.1,0.200645161,1.27272,3.8,0.351851852,0.024516129,10.8,0.069677419,18.1,0.116774194,1.675925926,155,59,96,0.619354839,15.5,0.1,3.45,0
0.016687657,18.6,0.117128463,-0.35997,3.1,0.322916667,0.019521411,9.6,0.060453401,16.4,0.103274559,1.708333333,158.8,55.6,103.2,0.649874055,13.8,0.086901763,2.65,0
0.031341108,22.4,0.163265306,0.88892,4,0.377358491,0.029154519,10.6,0.077259475,17.8,0.129737609,1.679245283,137.2,61,76.2,0.555393586,16.5,0.120262391,4.3,0
0.028366112,19.3,0.145990923,0.12202,3.2,0.293577982,0.024205749,10.9,0.082450832,17,0.128593041,1.559633028,132.2,62.8,69.4,0.524962179,14.5,0.1096823,3.75,1
0.015555556,17,0.125925926,-1.07613,3.1,0.336956522,0.022962963,9.2,0.068148148,14.9,0.11037037,1.619565217,135,50,85,0.62962963,13.8,0.102222222,2.1,0
0.021328671,17.8,0.124475524,-0.19914,3.4,0.343434343,0.023776224,9.9,0.069230769,16,0.111888112,1.616161616,143,57.6,85.4,0.597202797,15.2,0.106293706,3.05,0
0.016923077,15.9,0.122307692,-1.34378,2.9,0.318681319,0.022307692,9.1,0.07,14.9,0.114615385,1.637362637,130,52.1,77.9,0.599230769,12.4,0.095384615,2.2,1
0.022308782,17,0.120396601,-0.56488,3.2,0.326530612,0.02266289,9.8,0.069405099,15.2,0.107648725,1.551020408,141.2,55.5,85.7,0.60694051,14,0.099150142,3.15,0
0.017550702,17.6,0.137285491,-0.94378,3.2,0.329896907,0.024960998,9.7,0.075663027,15.4,0.120124805,1.587628866,128.2,54.3,73.9,0.576443058,12.4,0.096723869,2.25,0
0.013671875,15,0.1171875,-1.64275,2.9,0.318681319,0.02265625,9.1,0.07109375,14.2,0.1109375,1.56043956,128,48.9,79.1,0.61796875,12,0.09375,1.75,1
