BODY CONDITION,BASE TAIL CIRCUMFERENCE (BTC),BTC:STL,BODY SIZE,EYE TO EAR LENGTH (EEL),EEL: SKULL LENGTH,EEL:STL,SKULL LENGTH (SL),SL:STL,SKULL WIDTH (SW),SW:STL,SW:SL,SNOUT-TAIL-LENGTH (STL) ,SNOUT-VENT-LENGTH (SVL),TAIL LENGTH (TL),TL:STL,THIGH WIDTH (TW),TW:STL,WEIGHT,"SEX (male= 0, female= 1)"
0.014107884,15.4,0.12780083,-1.60086,3,0.337078652,0.024896266,8.9,0.073858921,14.2,0.117842324,1.595505618,120.5,49.2,71.3,0.591701245,13,0.107883817,1.7,1
0.030640669,21,0.146239554,0.98962,4.2,0.403846154,0.029247911,10.4,0.072423398,18.9,0.131615599,1.817307692,143.6,59.4,84.2,0.586350975,16.4,0.114206128,4.4,0
0.03276699,19.7,0.119538835,1.9031,4.2,0.341463415,0.025485437,12.3,0.074635922,20,0.121359223,1.62601626,164.8,68.5,96.3,0.58434466,16.6,0.100728155,5.4,1
0.022378909,20.1,0.123237278,0.7711,3.6,0.330275229,0.022072348,10.9,0.066830166,18,0.110361741,1.651376147,163.1,64.6,98.5,0.603923973,15,0.091968118,3.65,0
0.029724656,19,0.118898623,1.31581,3.8,0.336283186,0.023779725,11.3,0.070713392,19.8,0.123904881,1.752212389,159.8,65.7,94.1,0.588861076,16.6,0.10387985,4.75,1
0.030168946,19,0.152855994,0.1172,3.3,0.305555556,0.026548673,10.8,0.086886565,17.6,0.14159292,1.62962963,124.3,59.8,64.5,0.518905873,15.3,0.1230893,3.75,1
0.022014925,18,0.134328358,-0.48835,3.2,0.326530612,0.023880597,9.8,0.073134328,15.8,0.117910448,1.612244898,134,54.2,79.8,0.595522388,15,0.111940299,2.95,1
0.02190027,17.6,0.118598383,-0.28069,3.1,0.313131313,0.020889488,9.9,0.06671159,16,0.107816712,1.616161616,148.4,57.3,91.1,0.613881402,14.9,0.100404313,3.25,1
0.027152832,19,0.147401086,0.61795,4,0.357142857,0.031031808,11.2,0.086889061,18,0.139643134,1.607142857,128.9,61,67.9,0.526764934,16.3,0.126454616,3.5,1
0.022486772,18.3,0.121031746,-0.09299,3.2,0.333333333,0.021164021,9.6,0.063492063,16.4,0.108465608,1.708333333,151.2,59.4,91.8,0.607142857,15.3,0.101190476,3.4,1
0.026013514,17.3,0.116891892,0.64741,3.6,0.330275229,0.024324324,10.9,0.073648649,18.9,0.127702703,1.733944954,148,64.5,83.5,0.564189189,15.7,0.106081081,3.85,1
